 Car Make , Car Model   , Year , Body Type , Color Options                 , Fuel Type , Engine Size (L) , Horsepower , Torque (Nm) , Transmission Type , Acceleration (0-60 mph) , Top Speed (mph) , Mileage (MPG) , Safety Features                                      , Entertainment Features               , Interior Features                                , Exterior Features                                           , Price ($) , Customer Ratings , Sales Figures (Units Sold) 
 Toyota   , Camry       ,2022, Sedan     ," White, Silver, Black          ", Gasoline  ,2.5,203,245, Automatic        , 7.9 seconds           ,135,31," ABS, Airbags, Lane-Keeping Assist, Blind Spot Monitor ", 8-inch Touchscreen Infotainment System ," Leather Seats, Power Driver's Seat, Dual-Zone Climate Control "," LED Headlights, Alloy Wheels, Sunroof                       ","28,500", 4.5/5            ,"1,500"
 Ford     , F-150       ,2023, Truck     ," Blue, Red, Gray               ", Gasoline  ,3.5,375,475, Automatic        , 6.1 seconds           ,145,23," ABS, Airbags, Trailer Sway Control, Rear View Camera  ", 12-inch SYNC 4 Infotainment System   ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Taillights, Tow Hitch, Bed Liner                        ","45,900", 4.8/5            ,"2,200"
 Honda    , Civic       ,2023, Sedan     ," Black, Blue, Silver           ", Gasoline  ,1.8,158,180, CVT               , 8.2 seconds           ,120,36," ABS, Airbags, Lane Departure Warning, Rear Cross Traffic Alert ", 7-inch Display Audio System       ," Cloth Seats, Bluetooth Connectivity, Push Button Start   "," LED Daytime Running Lights, Alloy Wheels                   ","22,950", 4.6/5            ,"2,800"
 Chevrolet, Tahoe       ,2023, SUV       ," Red, White, Gray              ", Gasoline  ,5.3,355,519, Automatic        , 7.1 seconds           ,130,19," ABS, Airbags, Forward Collision Warning, Lane Keep Assist ", 10.2-inch Infotainment System      ," Leather Seats, Heated Front Seats, Third-Row Seating     "," LED Headlights, Roof Rails, Power Liftgate                 ","53,250", 4.7/5            ,"1,000"
 Tesla    , Model 3     ,2023, Sedan     ," Blue, Red, Silver             ", Electric  , N/A             , 283 (est.) , 440 (est.)  , Automatic        , 5.2 seconds           , 140 (est.)     , 125 (est.)    ," Enhanced Autopilot, Lane Departure Warning, Autopark   ", 15.4-inch Infotainment Display     ," Vegan Leather Seats, Heated Steering Wheel, Premium Audio "," Panoramic Glass Roof, Power Trunk, Alloy Wheels             ","49,990", 4.9/5            ,"4,500"
 Nissan   , Rogue       ,2023, SUV       ," Green, Black, White           ", Gasoline  ,2.5,181,245, CVT               , 8.6 seconds           ,115,28," ABS, Airbags, Blind Spot Warning, Rear Cross Traffic Alert ", 8-inch Touchscreen Display        ," Cloth Seats, Power Mirrors, Dual-Zone Climate Control     "," LED Taillights, Roof Rails, Power Liftgate                 ","27,850", 4.6/5            ,"2,100"
 BMW      , X5          ,2022, SUV       ," Black, Gray, Blue             ", Gasoline  ,3,335,450, Automatic        , 5.3 seconds           ,155,24," ABS, Airbags, Lane Departure Warning, Parking Assist     ", 12.3-inch Digital Instrument Cluster ," Leather Seats, Heated Front Seats, Panoramic Sunroof      "," LED Headlights, Roof Rails, 20-inch Alloy Wheels          ","62,700", 4.7/5            ,"1,300"
 Hyundai  , Sonata      ,2023, Sedan     ," Red, Silver, White            ", Gasoline  ,2.5,191,245, Automatic        , 7.6 seconds           ,130,29," ABS, Airbags, Forward Collision Warning, Lane Keeping Assist ", 10.25-inch Touchscreen Display    ," Leather Seats, Power Driver's Seat, Push Button Start     "," LED Daytime Running Lights, Alloy Wheels                   ","28,450", 4.8/5            ,"2,000"
 Ford     , Mustang     ,2023, Coupe     ," Yellow, Black, Red            ", Gasoline  ,5,450,570, Manual            , 4.3 seconds           ,180,19," ABS, Airbags, Traction Control, Electronic Stability Control ", 12-inch SYNC 4 Infotainment System  ," Leather Seats, Power Driver's Seat, Ambient Lighting        "," LED Headlights, Rear Spoiler, Dual Exhaust                 ","42,850", 4.9/5            ,"1,800"
 Toyota   , RAV4        ,2023, SUV       ," Blue, Silver, Green           ", Gasoline  ,2.5,203,243, Automatic        , 8.0 seconds           ,120,30," ABS, Airbags, Lane Tracing Assist, Blind Spot Monitoring  ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Dual-Zone Climate Control     "," LED Daytime Running Lights, Roof Rails                   ","29,350", 4.5/5            ,"2,500"
 Audi     , A4          ,2023, Sedan     ," White, Gray, Black            ", Gasoline  ,2,201,350, Automatic        , 6.6 seconds           ,130,26," ABS, Airbags, Lane Departure Warning, Adaptive Cruise Control ", 10.1-inch MMI Touchscreen Display  ," Leather Seats, Heated Front Seats, Tri-Zone Climate Control "," LED Headlights, Sunroof, 18-inch Alloy Wheels              ","39,900", 4.6/5            ,"2,300"
 GMC      , Sierra      ,2023, Truck     ," Red, Black, White             ", Gasoline  ,6.2,420,624, Automatic        , 5.7 seconds           ,140,17," ABS, Airbags, Trailer Brake Control, Rear View Camera    ", 12.3-inch Infotainment System      ," Leather Seats, Heated Front Seats, Power Tailgate         "," LED Taillights, Tow Hitch, 20-inch Alloy Wheels           ","51,250", 4.7/5            ,"1,000"
 Honda    , CR-V        ,2023, SUV       ," Gray, Blue, Silver            ", Gasoline  ,1.5,190,240, CVT               , 7.5 seconds           ,130,32," ABS, Airbags, Collision Mitigation, Lane Keeping Assist ", 8-inch Display Audio System       ," Cloth Seats, Bluetooth Connectivity, Power Sunroof        "," LED Daytime Running Lights, Roof Rails                   ","31,450", 4.8/5            ,"2,700"
 Subaru   , Outback     ,2023, Wagon     ," Green, Black, Gray            ", Gasoline  ,2.4,228,376, CVT               , 6.8 seconds           ,130,26," ABS, Airbags, Lane Departure Warning, Adaptive Cruise Control ", 11.6-inch Touchscreen Display    ," Leather Seats, Heated Front Seats, Power Liftgate          "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           ","30,895", 4.6/5            ,"1,200"
 Chevrolet, Camaro      ,2023, Coupe     ," Red, Black, Yellow            ", Gasoline  ,6.2,650,881, Automatic        , 3.5 seconds           ,190,17," ABS, Airbags, Traction Control, StabiliTrak             ", 9-inch Infotainment System       ," Leather Seats, Heated and Ventilated Front Seats          "," LED Headlights, Rear Spoiler, 20-inch Alloy Wheels        ","65,590", 4.9/5            ,"1,000"
 Ford     , Escape      ,2023, SUV       ," Blue, White, Gray             ", Gasoline  ,2,250,380, Automatic        , 6.9 seconds           ,135,28," ABS, Airbags, Lane Keeping Assist, Rear View Camera     ", 10.1-inch SYNC 3 Infotainment System ," Cloth Seats, Keyless Entry, Power Liftgate                "," LED Taillights, Roof Rails, 18-inch Alloy Wheels           ","28,895", 4.7/5            ,"2,600"
 Mazda    , CX-5        ,2023, SUV       ," Red, Silver, Black            ", Gasoline  ,2.5,187,251, Automatic        , 8.1 seconds           ,129,29," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 10.25-inch Infotainment Display   ," Leather Seats, Heated Front Seats, Power Sunroof          "," LED Headlights, Roof Rails, 19-inch Alloy Wheels           ","30,545", 4.8/5            ,"2,300"
 Kia      , Sorento     ,2023, SUV       ," Silver, Black, Blue           ", Gasoline  ,2.5,191,245, Automatic        , 7.7 seconds           ,126,27," ABS, Airbags, Forward Collision Warning, Rear View Camera  ", 8-inch Touchscreen Display        ," Leather Seats, Heated Front Seats, Power Tailgate          "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           ","32,350", 4.6/5            ,"1,500"
 Mercedes , C-Class     ,2023, Sedan     ," Black, Blue, White            ", Gasoline  ,2,255,370, Automatic        , 5.9 seconds           ,155,25," ABS, Airbags, Lane Departure Warning, Adaptive Cruise Control ", 12.3-inch Digital Instrument Cluster ," Leather Seats, Heated Front Seats, Panoramic Sunroof      "," LED Headlights, Alloy Wheels, Power Trunk                ","42,600", 4.8/5            ,"1,200"
 Jeep     , Wrangler    ,2023, SUV       ," Gray, Green, Red              ", Gasoline  ,3.6,285,353, Automatic        , 7.3 seconds           ,125,20," ABS, Airbags, Hill Start Assist, Electronic Roll Mitigation ", 8.4-inch Uconnect Infotainment     ," Cloth Seats, Keyless Entry, Removable Top                  "," LED Headlights, Tow Hooks, 17-inch Alloy Wheels            ","38,950", 4.7/5            ,"1,800"
 Volkswagen, Jetta      ,2023, Sedan     ," White, Black, Silver          ", Gasoline  ,1.4,147,250, Automatic        , 8.4 seconds           ,130,33," ABS, Airbags, Blind Spot Monitor, Rear View Camera        ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Headlights, 16-inch Alloy Wheels                       ","22,495", 4.6/5            ,"2,500"
 Volvo    , XC60        ,2023, SUV       ," Silver, White, Gray           ", Gasoline  ,2,250,350, Automatic        , 6.4 seconds           ,140,24," ABS, Airbags, Lane Departure Warning, Blind Spot Monitoring ", 9-inch Touchscreen Display        ," Leather Seats, Heated Front Seats, Panoramic Sunroof       "," LED Headlights, Roof Rails, 19-inch Alloy Wheels           ","45,450", 4.9/5            ,"1,000"
 Subaru   , Forester    ,2023, SUV       ," Black, Red, Blue              ", Gasoline  ,2.5,182,239, CVT               , 8.2 seconds           ,120,29," ABS, Airbags, Lane Departure Warning, Adaptive Cruise Control ", 8-inch Touchscreen Display        ," Cloth Seats, Power Mirrors, Keyless Entry                 "," LED Daytime Running Lights, Roof Rails, 17-inch Alloy Wheels ","26,995", 4.6/5            ,"2,400"
 Toyota   , Highlander  ,2023, SUV       ," White, Silver, Black          ", Gasoline  ,3.5,295,356, Automatic        , 6.9 seconds           ,115,25," ABS, Airbags, Lane Departure Warning, Blind Spot Monitoring ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           ","36,085", 4.7/5            ,"1,900"
 Ford     , Explorer    ,2023, SUV       ," Red, Black, Gray              ", Gasoline  ,2.3,300,420, Automatic        , 6.8 seconds           ,130,27," ABS, Airbags, Blind Spot Monitor, Rear Cross Traffic Alert ", 12-inch Touchscreen Display       ," Cloth Seats, Keyless Entry, Power Tailgate                "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           ","37,775", 4.8/5            ,"1,800"
 Chevrolet, Corvette    ,2023, Coupe     ," Red, Black, White             ", Gasoline  ,6.2,490,630, Automatic        , 3.0 seconds           ,190,20," ABS, Airbags, Performance Traction Management, Rear View Camera ", 10.2-inch Infotainment System     ," Leather Seats, Power Driver's Seat, Bose Premium Audio     "," LED Headlights, Rear Spoiler, 19-inch Alloy Wheels         ","67,590", 4.9/5            ,"1,300"
 Ford     , Expedition  ,2023, SUV       ," Blue, White, Silver           ", Gasoline  ,3.5,400,650, Automatic        , 5.7 seconds           ,120,22," ABS, Airbags, Blind Spot Information System, Rear Cross Traffic Alert ", 12.3-inch SYNC 4 Infotainment System  ," Leather Seats, Heated Front Seats, Power Fold Third-Row Seats "," LED Headlights, Roof Rails, 22-inch Alloy Wheels          ","54,500", 4.8/5            ,800
 Hyundai  , Tucson      ,2023, SUV       ," Silver, Gray, Black           ", Gasoline  ,2.5,187,241, Automatic        , 7.8 seconds           ,126,28," ABS, Airbags, Forward Collision-Avoidance Assist, Rear View Camera ", 10.25-inch Touchscreen Display   ," Cloth Seats, Keyless Entry, Wireless Smartphone Charging "," LED Daytime Running Lights, 17-inch Alloy Wheels           ","27,500", 4.6/5            ,"1,500"
 GMC      , Yukon       ,2023, SUV       ," Black, White, Gray            ", Gasoline  ,5.3,355,519, Automatic        , 7.0 seconds           ,120,20," ABS, Airbags, Lane Keep Assist, Blind Zone Alert            ", 10.2-inch Infotainment Display     ," Leather Seats, Heated Front Seats, Power Tailgate         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           ","51,850", 4.7/5            ,"1,200"
 Audi     , Q5          ,2023, SUV       ," Gray, Blue, Black             ", Gasoline  ,2,261,370, Automatic        , 5.9 seconds           ,135,27," ABS, Airbags, Audi Pre Sense City, Lane Departure Warning   ", 10.1-inch MMI Touchscreen Display ," Leather Seats, Heated Front Seats, Panoramic Sunroof      "," LED Headlights, 18-inch Alloy Wheels                      ","43,200", 4.8/5            ,"1,400"
 Kia      , Telluride   ,2023, SUV       ," Black, Gray, White            ", Gasoline  ,3.8,291,355, Automatic        , 7.2 seconds           ,130,21," ABS, Airbags, Forward Collision Avoidance Assist, Blind Spot View Monitor ", 12.3-inch Touchscreen Display    ," Leather Seats, Heated Front Seats, Power Liftgate          "," LED Headlights, Roof Rails, 20-inch Alloy Wheels           ","38,500", 4.7/5            ,"1,800"
 Mercedes , GLC-Class   ,2023, SUV       ," White, Black, Silver          ", Gasoline  ,2,255,370, Automatic        , 6.0 seconds           ,140,24," ABS, Airbags, Active Brake Assist, Lane Keeping Assist       ", 10.25-inch Digital Instrument Cluster ," Leather Seats, Heated Front Seats, Power Liftgate          "," LED Headlights, Roof Rails, 19-inch Alloy Wheels           ","43,900", 4.9/5            ,"1,200"
 Jeep     , Grand Cherokee ,2023, SUV    ," Gray, Red, Blue              ", Gasoline  ,3.6,295,348, Automatic        , 7.2 seconds           ,130,26," ABS, Airbags, Blind Spot Monitoring, Rear Cross Path Detection ", 8.4-inch Uconnect Infotainment     ," Leather Seats, Heated Front Seats, Power Liftgate          "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           ","36,750", 4.7/5            ,"1,600"
 Volkswagen , Taos       ,2023, SUV      ," Silver, Blue, Black           ", Gasoline  ,1.5,158,250, Automatic        , 8.9 seconds           ,124,32," ABS, Airbags, Lane Keeping System, Rear Traffic Alert         ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Wireless Smartphone Charger   "," LED Headlights, 17-inch Alloy Wheels                       ","23,900", 4.7/5            ,"2,300"
 Nissan   , Pathfinder  ,2023, SUV       ," Blue, White, Black            ", Gasoline  ,3.5,284,351, Automatic        , 7.3 seconds           ,120,23," ABS, Airbags, Rear Automatic Braking, Rear Cross Traffic Alert ", 8-inch Touchscreen Display        ," Cloth Seats, Power Windows, Tri-Zone Automatic Climate Control "," LED Headlights, Roof Rails, 18-inch Alloy Wheels          ","33,000", 4.7/5            ,"1,400"
 Subaru   , Crosstrek  ,2023, SUV       ," Orange, Black, White          ", Gasoline  ,2.5,182,239, CVT               , 8.4 seconds           ,130,29," ABS, Airbags, EyeSight Driver Assist, Rear Vision Camera     ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Access, Power Sunroof                "," LED Daytime Running Lights, Roof Rails, 17-inch Alloy Wheels ","27,495", 4.6/5            ,"2,000"
 Toyota   , 4Runner     ,2023, SUV       ," Black, White, Silver          ", Gasoline  ,4,270,278, Automatic        , 7.5 seconds           ,115,19," ABS, Airbags, Hill Start Assist Control, Trailer-Sway Control ", 8-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Rear Window              "," LED Headlights, Roof Rails, 17-inch Alloy Wheels          ","36,585", 4.6/5            ,"1,100"
 Ford     , Edge        ,2023, SUV       ," White, Gray, Blue             ", Gasoline  ,2,250,379, Automatic        , 7.3 seconds           ,130,25," ABS, Airbags, Ford Co-Pilot360, Lane-Keeping System         ", 12-inch SYNC 4 Infotainment System  ," Cloth Seats, Power Windows, Dual-Zone Climate Control      "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           ","32,650", 4.8/5            ,"1,800"
 Chevrolet, Equinox     ,2023, SUV       ," Black, Red, Silver            ", Gasoline  ,1.5,170,275, Automatic        , 8.8 seconds           ,125,29," ABS, Airbags, Lane Keep Assist, Forward Collision Alert      ", 8-inch Infotainment System        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","27,900", 4.6/5            ,"1,900"
 Honda    , HR-V        ,2023, SUV       ," Green, White, Gray            ", Gasoline  ,1.8,141,172, CVT               , 10.2 seconds          ,120,31," ABS, Airbags, Collision Mitigation Braking System, Lane Keeping Assist ", 7-inch Display Audio System       ," Cloth Seats, Power Mirrors, Keyless Entry                "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","24,650", 4.5/5            ,"2,200"
 Mercedes , S-Class     ,2023, Sedan     ," Black, Silver, White          ", Gasoline  ,3,429,520, Automatic        , 4.7 seconds           ,155,23," ABS, Airbags, Active Distance Assist, Traffic Sign Assist    ", 12.8-inch OLED Infotainment Screen ," Leather Seats, Heated and Ventilated Front Seats, Power Rear Window "," LED Headlights, Panoramic Sunroof, 20-inch Alloy Wheels ","99,950", 4.9/5            ,400
 Jeep     , Compass     ,2023, SUV       ," Red, White, Black            ", Gasoline  ,2.4,177,237, Automatic        , 9.1 seconds           ,125,29," ABS, Airbags, Hill Start Assist, ParkView Rear Back-Up Camera ", 8.4-inch Uconnect Infotainment     ," Cloth Seats, Keyless Entry, Dual-Zone Automatic Climate Control "," LED Headlights, Roof Rails, 18-inch Alloy Wheels         ","26,350", 4.7/5            ,"2,200"
 Volkswagen , Atlas      ,2023, SUV       ," Silver, Blue, White           ", Gasoline  ,2,235,350, Automatic        , 7.6 seconds           ,130,22," ABS, Airbags, Lane Assist, Rear Traffic Alert                ", 8-inch Touchscreen Display        ," Cloth Seats, Power Mirrors, Keyless Entry                 "," LED Headlights, Roof Rails, 18-inch Alloy Wheels           ","33,450", 4.7/5            ,"1,800"
 Nissan   , Sentra      ,2023, Sedan     ," Red, Black, Blue              ", Gasoline  ,2,149,198, CVT               , 8.7 seconds           ,125,35," ABS, Airbags, Intelligent Forward Collision Warning          ", 7-inch Touchscreen Display        ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Daytime Running Lights, 16-inch Alloy Wheels          ","20,450", 4.6/5            ,"2,600"
 Subaru   , Legacy      ,2023, Sedan     ," Gray, Blue, Black             ", Gasoline  ,2.4,228,376, CVT               , 6.1 seconds           ,130,35," ABS, Airbags, EyeSight Driver Assist Technology, Rear Vision Camera ", 11.6-inch Touchscreen Display    ," Cloth Seats, Power Driver's Seat, Keyless Access         "," LED Headlights, Alloy Wheels, Power Sunroof              ","26,245", 4.7/5            ,"1,500"
 Lexus    , RX          ,2023, SUV       ," White, Silver, Black          ", Gasoline  ,3.5,295,267, Automatic        , 7.7 seconds           ,120,24," ABS, Airbags, Lexus Safety System+ 2.5, Rear Cross-Traffic Alert ", 8-inch Touchscreen Display        ," Leather Seats, Power Front Seats, Keyless Entry         "," LED Headlights, Roof Rails, 18-inch Alloy Wheels         ","46,800", 4.8/5            ,"1,200"
 BMW      , 5 Series    ,2023, Sedan     ," Black, Gray, White            ", Gasoline  ,2,248,350, Automatic        , 6.0 seconds           ,130,27," ABS, Airbags, Active Driving Assistant, Parking Assistant Plus ", 12.3-inch Digital Instrument Cluster ," Leather Seats, Heated Front Seats, Power Tailgate         "," LED Headlights, Alloy Wheels, Power Sunroof              ","54,700", 4.8/5            ,800
 Mazda    , Mazda6      ,2023, Sedan     ," White, Black, Gray            ", Gasoline  ,2.5,187,251, Automatic        , 8.1 seconds           ,130,31," ABS, Airbags, Blind Spot Monitoring, Rear Cross Traffic Alert ", 8-inch Infotainment System        ," Leather Seats, Power Driver's Seat, Keyless Entry        "," LED Headlights, Alloy Wheels, Power Sunroof              ","27,550", 4.7/5            ,"1,300"
 Toyota   , Tacoma      ,2023, Truck     ," Red, Black, Silver            ", Gasoline  ,3.5,278,359, Automatic        , 7.2 seconds           ,120,21," ABS, Airbags, Toyota Safety Sense P, Rear Parking Assist Sonar ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Power Windows                 "," LED Taillights, Deck Rail System, 16-inch Alloy Wheels   ","35,950", 4.8/5            ,"1,800"
 Audi     , Q7          ,2023, SUV       ," Black, Gray, White            ", Gasoline  ,3,335,500, Automatic        , 5.7 seconds           ,130,21," ABS, Airbags, Audi Pre Sense Front, Audi Side Assist         ", 10.1-inch MMI Touchscreen Display ," Leather Seats, Heated Front Seats, Power Tailgate         "," LED Headlights, Roof Rails, 20-inch Alloy Wheels         ","54,800", 4.8/5            ,"1,100"
 Ford     , Bronco      ,2023, SUV       ," Blue, Black, Gray             ", Gasoline  ,2.7,310,542, Automatic        , 5.9 seconds           ,120,22," ABS, Airbags, AdvanceTrac with RSC, Trail Control            ", 8-inch SYNC 4A Infotainment System ," Cloth Seats, Keyless Entry, Power Front Windows           "," LED Headlights, Removable Top, 17-inch Alloy Wheels      ","33,790", 4.8/5            ,"1,900"
 Honda    , Odyssey     ,2023, Minivan   ," Gray, White, Silver           ", Gasoline  ,3.5,280,355, Automatic        , 6.6 seconds           ,120,22," ABS, Airbags, Honda Sensing, Rear Cross Traffic Monitor       ", 8-inch Display Audio System       ," Cloth Seats, Power Front Seats, Keyless Entry            "," LED Headlights, Power Sliding Doors, 18-inch Alloy Wheels ","36,500", 4.7/5            ,"1,500"
 Kia      , Sportage    ,2023, SUV       ," Black, Silver, Red            ", Gasoline  ,2.4,181,237, Automatic        , 8.3 seconds           ,120,26," ABS, Airbags, Forward Collision-Avoidance Assist, Lane Keeping Assist ", 8-inch Touchscreen Display        ," Cloth Seats, Power Mirrors, Keyless Entry                 "," LED Daytime Running Lights, 17-inch Alloy Wheels          ","25,000", 4.6/5            ,"2,200"
 Chevrolet, Bolt EUV    ,2023, SUV       ," Silver, Blue, Black           ", Electric  , N/A             , 200 (est.) , 360 (est.)  , Automatic        , 6.5 seconds           , 120 (est.)     , 110 (est.)    ," ABS, Airbags, HD Rear Vision Camera, Lane Keep Assist with Lane Departure Warning ", 10.2-inch Infotainment Display     ," Cloth Seats, Keyless Entry, Wireless Smartphone Charging "," LED Headlights, Roof Rails, 17-inch Alloy Wheels          ","33,995", 4.9/5            ,900
